CDS,length,EarL1,EarL2,EarL3,LateL1,LateL2,LateL3,Male1,Male2,Male3,NPF1,NPF2,NPF3,PreL1,PreL2,PreL3
Dp-8198,945,13,8,26,21,20,28,36,31,57,17,37,40,37,8,16
Dp-82,972,2729,1391,6961,5743,8469,5480,7629,11540,10690,2899,3816,9508,15529,841,3176
Dp-82008,198,2087,795,2355,1344,2026,2775,2316,2997,2372,851,1711,2749,3360,664,1472
Dp-82012,1116,22,15,23,32,9,18,55,41,37,207,13,29,53,10,14
Dp-8204,429,751,439,470,717,719,621,818,915,1080,179,609,587,1059,425,486
Dp-8213,687,0,243,0,0,0,0,0,0,0,0,2,0,0,119,0
Dp-82133,480,9861,4304,5848,6979,9383,9984,6599,8068,7765,1357,5974,8010,12985,2333,7814
Dp-8214,372,1,0,30,8,16,74,26,23,36,2,16,43,94,1,27
Dp-8215,1023,29,0,46,10,36,7,157,191,111,3,14,0,13,4,3
Dp-82171,360,49,20,30,20,56,32,46,55,39,8,36,62,56,18,50
Dp-82239,195,2,0,5,7,5,5,16,13,12,0,7,11,9,2,6
Dp-823,237,419,6,16,12,18,714,232,228,914,0,57,592,64,245,113
Dp-8232,3051,151,2,222,64,178,267,247,267,188,57,183,205,351,27,82
Dp-8237,2385,67,16,70,17,110,149,63,59,60,40,170,120,43,16,66
Dp-82381,189,714,251,988,663,829,837,997,582,295,421,696,1429,1516,220,762
Dp-82387,666,10,1,14,6,8,8,49,56,39,2,1,0,5,0,2
Dp-8239,1605,1151,218,678,538,954,938,1136,1567,1421,282,1028,1087,1405,325,786
Dp-8244,1104,1560,686,1728,1084,2118,2293,2439,2537,3522,1185,4912,3761,4507,602,1466
Dp-82485,408,2,0,5,2,7,1,19,32,12,1,1,0,5,1,1
Dp-82502,210,33,7,28,26,39,43,42,29,27,6,32,39,50,7,9
Dp-82503,1998,83,2,68,19,76,53,367,528,215,3,10,0,52,11,6
Dp-8254,900,310,88,339,143,400,502,320,503,470,60,332,514,491,57,289
Dp-82545,882,6,6,13,7,19,31,115,182,158,17,29,28,30,5,7
Dp-82554,1155,35,6,31,16,42,49,43,59,61,19,51,52,62,5,28
Dp-8257,1137,7735,1662,5482,4438,5011,5971,6373,7630,9163,778,4147,8290,10326,4729,7833
Dp-8258,1260,22,7,16,15,36,62,23,16,22,1,20,26,26,6,17
Dp-82583,351,0,31,3,45,5,4,0,0,3,7,3,0,0,11,0
Dp-826,453,25,6,39,20,47,54,54,30,17,11,22,64,36,9,24
Dp-8261,663,271,46,145,111,239,245,352,405,458,51,189,228,321,74,208
Dp-82621,921,176,38,79,85,142,143,154,175,133,25,142,158,206,38,119
Dp-82639,363,1,1,3,1,6,14,2,5,1,1,2,6,8,0,1
Dp-8265,2505,374,95,341,185,388,402,480,587,469,60,302,405,635,89,270
Dp-82760,201,13,24,38,41,27,28,36,38,56,46,12,28,81,15,13
Dp-8277,594,14,4,58,10,35,54,25,50,62,26,43,43,90,4,28
Dp-8286,621,242,291,162,424,224,238,171,256,305,116,187,201,385,117,222
Dp-8289,1155,101,25,490,95,649,889,262,521,468,298,384,503,1392,28,179
Dp-8290,1353,203,16,219,57,224,319,264,386,342,69,216,262,312,43,92
Dp-82930,363,0,12,0,13,0,0,449,489,745,0,1,1,0,2,0
Dp-82944,789,17,7,30,7,33,57,32,51,54,5,24,48,74,7,13
Dp-8295,168,6,24,5,6,1,7,1,0,0,1,3,4,0,7,14
Dp-82969,186,1,0,11,1,7,14,2,3,4,1,5,6,14,0,1
Dp-82986,696,6,5,30,9,23,51,11,20,14,10,15,31,36,2,10
Dp-8301,204,8,7,5,7,10,13,10,2,3,1,12,15,2,4,4
Dp-8302,1641,176,49,221,157,233,282,273,337,261,64,238,242,470,49,174
Dp-83023,822,26,1,27,12,27,10,74,120,60,2,7,0,15,1,5
Dp-83039,1035,9,0,8,3,16,14,9,16,10,6,16,17,16,2,4
Dp-83136,582,49,13,18,27,52,42,57,70,69,11,36,40,80,17,23
Dp-8314,1251,433,162,369,381,357,462,423,648,396,78,231,305,740,69,203
Dp-8319,1350,655,36,155,65,187,233,269,438,354,38,75,110,159,76,121
Dp-83210,1002,24,5,13,3,16,15,40,44,45,19,18,15,16,6,8
Dp-8329,210,1311,1326,2047,1572,2315,1968,2782,1293,1054,767,1813,2489,1253,770,1146
Dp-83318,297,77,48,61,80,72,73,72,52,63,14,64,73,100,34,60
Dp-83320,465,216,132,94,164,167,134,162,158,134,22,130,162,298,47,143
Dp-8334,2106,303,69,271,187,407,405,441,574,447,107,380,399,614,92,209
Dp-83350,1041,15,2,17,5,14,7,56,107,43,5,3,1,14,2,2
Dp-83397,189,1,0,6,0,1,0,3,10,2,0,0,0,1,0,0
Dp-83445,207,0,19,0,0,0,0,0,0,0,3,0,0,0,4,0
Dp-8345,1755,190,64,295,178,267,317,299,381,297,50,190,273,435,59,158
Dp-83469,777,3909,1541,2459,1719,1910,3395,1991,3115,3030,126,1099,1476,2962,1755,2944
Dp-8351,1998,360,98,208,164,265,320,319,221,151,75,229,266,316,75,215
Dp-83584,1464,40,30,59,71,124,130,60,78,73,31,109,127,134,15,50
Dp-83596,165,1,17,2,2,4,2,9,1,1,4,4,8,7,0,7
Dp-83620,240,73,108,61,85,101,86,87,101,116,9,59,62,144,36,89
Dp-8365,237,2,0,3,4,2,3,1,2,2,2,2,2,8,0,5
Dp-83653,468,0,32,0,13,2,0,0,1,3,5,0,0,3,7,1
Dp-8369,1518,63,13,77,44,95,98,100,124,142,22,88,133,174,14,76
Dp-83697,741,294,556,298,317,315,339,310,338,261,228,322,366,363,226,187
Dp-8370,363,5,2,0,5,4,4,19,18,13,2,2,0,4,1,4
Dp-83770,198,8,0,4,0,3,5,1,8,1,3,2,1,3,2,3
Dp-83787,2277,105,2,161,25,109,56,475,759,313,1,26,1,44,9,10
Dp-8379,2037,405,138,484,234,600,466,601,607,743,355,995,945,950,161,511
Dp-8381,450,47,4,22,19,52,9,160,189,104,3,2,1,15,7,9
Dp-8382,3882,195,28,641,258,594,684,635,844,878,984,766,964,1940,40,263
Dp-83825,183,8,2,1,3,6,1,4,3,2,1,2,3,2,1,4
Dp-83849,1584,345,70,501,186,425,374,535,487,425,89,174,320,469,160,189
Dp-83854,171,16,1,16,1,9,23,9,4,7,1,11,19,9,1,9
Dp-83862,174,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Dp-8391,756,226,86,157,141,187,172,270,238,186,45,118,174,297,82,192
Dp-83911,168,1,0,3,1,3,0,0,2,1,5,4,0,3,1,1
Dp-83960,174,68,43,92,66,108,104,143,163,191,64,113,134,238,29,51
Dp-8398,5502,272,58,661,292,566,985,776,1233,1040,279,578,679,1531,116,251
Dp-83987,726,5,0,32,0,5,7,59,108,32,0,2,1,4,0,2
Dp-84046,375,31,22,11,18,18,16,10,7,19,4,4,14,12,13,13
Dp-84146,486,1,2,1,4,3,1,67,99,69,5,2,6,2,0,0
Dp-8416,750,8,8,37,23,31,31,88,86,96,13,34,48,73,5,14
Dp-84163,369,890,866,817,684,1060,1030,1017,1039,1027,103,683,800,1685,229,791
Dp-84170,729,9,2,26,5,25,31,16,21,20,5,7,22,49,1,2
Dp-84219,288,0,4,2,0,2,0,5,2,2,17,15,17,5,5,5
Dp-84221,213,0,1,1,1,5,3,0,2,1,0,5,6,4,0,2
Dp-84226,375,114,13,72,59,121,42,355,410,228,7,10,5,44,27,14
Dp-8423,924,64,9,86,43,80,120,172,224,233,45,142,111,169,25,56
Dp-84239,174,12,14,34,17,22,22,43,69,58,68,26,43,46,6,12
Dp-8426,1632,34,3,47,14,28,18,141,185,132,3,7,0,22,2,5
Dp-8429,630,109,46,103,109,101,102,184,45,37,89,57,107,88,44,63
Dp-8431,3810,5119,11309,4278,5180,5333,3724,4510,6778,5756,1661,4644,5871,7908,2999,3411
Dp-84396,621,2,0,50,7,22,14,19,58,25,6,12,13,43,0,5
Dp-8441,2520,260,297,366,265,333,324,420,482,360,111,270,452,633,99,192
Dp-84422,906,169,38,217,120,194,262,233,315,324,60,256,242,365,42,148
Dp-84530,645,4330,340,900,263,1807,1527,2316,2498,3274,97,1344,1185,387,1744,3536
Dp-8455,525,4,0,13,2,14,7,8,19,21,2,19,6,15,3,3
Dp-84552,807,528,170,584,284,311,776,783,677,623,65,286,696,1035,141,419
Dp-84553,165,3,3,4,4,11,6,0,0,1,2,11,4,6,3,0
Dp-8456,738,352,140,249,91,304,691,450,292,639,53,1385,1613,726,81,830
Dp-84572,753,2,1,5,2,3,0,49,65,76,13,66,38,18,1,8
Dp-84595,1416,295,93,249,227,155,205,44,126,31,2,124,257,399,129,236
Dp-84597,360,0,17,1,11,1,1,0,0,2,0,2,0,0,4,2
Dp-8460,1284,127,19,265,93,186,104,1323,2306,733,5,38,7,109,12,22
Dp-8469,771,2,2,8,5,11,10,6,7,18,11,8,17,14,2,3
Dp-84706,180,73,61,149,98,134,167,125,57,44,111,151,180,74,41,62
Dp-84728,768,12,4,8,13,11,14,18,31,26,0,8,7,25,3,4
Dp-8474,1038,10,2,43,3,15,71,24,28,31,2,27,19,55,5,16
Dp-84743,480,613,332,466,532,737,717,777,778,1006,202,628,734,1097,377,531
Dp-84773,525,92,21,93,38,90,112,71,44,14,10,84,106,61,12,40
Dp-84821,366,33,10,20,26,76,14,183,227,136,6,6,1,21,10,6
Dp-8483,3393,467,76,491,221,509,546,620,783,562,116,422,549,922,82,303
Dp-84921,555,0,75,0,4,0,0,0,0,2,18,0,0,0,22,0
Dp-85004,504,29,6,28,10,52,42,26,23,23,9,28,35,28,12,23
Dp-8502,792,14706,9132,9850,10360,14422,14561,12353,14529,13411,4041,12121,13830,21847,3797,12196
Dp-8504,1671,159,35,116,76,196,207,177,241,251,72,192,222,343,31,99
Dp-85040,291,7,2,1,2,8,3,0,1,0,2,2,1,1,1,1
Dp-85048,237,0,24,2,5,1,2,1,1,3,6,0,0,1,12,0
Dp-85054,291,0,108,0,28,2,2,0,0,3,16,1,0,2,25,4
Dp-85083,279,2,21,7,3,6,4,2,10,10,10,4,6,14,6,3
Dp-85096,264,3,0,2,0,0,0,20,16,6,0,0,0,3,0,0
Dp-851,558,10085,10874,7776,10533,11382,11433,8162,10098,9375,2050,6637,8328,18321,3243,8749
Dp-8510,1323,14,5,24,24,31,33,33,59,33,27,48,42,60,4,33
Dp-85112,459,9,3,3,5,4,9,79,79,58,2,3,15,9,0,3
Dp-85144,1029,28,8,22,13,27,5,123,213,98,3,3,0,16,0,2
Dp-85177,1584,71,7,81,20,57,24,346,499,211,3,20,2,40,5,1
Dp-85207,795,12,0,24,2,7,43,30,29,44,8,5,16,18,0,7
Dp-8521,213,1,0,3,2,4,11,2,11,6,2,3,4,7,0,5
Dp-85219,378,281,232,265,262,382,333,370,371,500,107,400,357,681,114,338
Dp-85267,717,285,71,183,106,277,262,341,424,452,47,173,212,383,127,289
Dp-853,243,0,9,0,10,0,0,1,0,0,7,0,0,0,3,0
Dp-8530,165,1054,689,2314,1266,2579,3415,909,1220,1482,794,2186,3180,4529,655,1580
Dp-85309,1458,579,29,1067,63,152,412,812,1137,1045,26,355,1214,556,331,343
Dp-85317,1302,83,24,72,41,76,74,52,78,64,12,29,67,95,20,44
Dp-85322,291,32,0,19,5,25,7,102,122,69,2,0,0,14,3,0
Dp-85325,561,16,3,9,8,9,7,16,27,26,4,13,20,18,4,5
Dp-85328,183,0,11,0,0,0,0,1,0,1,1,0,0,1,5,0
Dp-85330,237,0,0,0,0,0,0,0,0,1,21,0,2,0,0,1
Dp-8534,1617,524,122,585,326,755,790,572,839,880,205,426,649,1081,214,507
Dp-8545,195,0,23,0,13,10,3,0,0,0,4,0,0,1,3,2
Dp-85452,378,1844,496,2035,694,2073,2907,2303,1218,934,598,1782,2787,1557,527,1386
Dp-85490,471,11,4,13,11,7,1,41,40,29,1,4,0,17,0,3
Dp-85496,555,1,1,4,0,11,1,3,3,5,1,5,11,1,2,3
Dp-85533,483,330,285,300,392,410,376,314,321,327,75,293,346,688,122,310
Dp-85537,1005,19,7,37,17,30,37,45,63,36,10,27,56,86,5,20
Dp-8554,1410,131,68,145,103,126,170,172,230,174,38,124,178,221,29,84
Dp-85561,318,2,3,1,0,2,2,152,169,159,2,1,1,1,0,1
Dp-85597,375,193,304,235,301,245,216,277,257,337,67,176,227,635,114,203
Dp-8564,1959,686,57,1343,303,1088,741,4907,5248,2657,243,610,492,1019,91,179
Dp-8565,2085,55,31,86,73,94,73,111,139,119,29,47,132,184,26,40
Dp-85665,363,645,690,683,836,967,982,618,681,693,169,486,836,1719,203,587
Dp-85677,1185,13,1,39,8,9,117,16,24,33,3,13,17,22,5,42
Dp-85689,345,2,0,3,0,3,8,4,0,1,0,0,3,2,2,5
Dp-85703,1287,65,19,62,26,55,41,81,85,109,13,59,73,99,28,41
Dp-8571,927,1543,131,298,185,765,360,771,876,1420,52,580,411,236,474,498
Dp-85717,327,63,5,71,30,85,87,68,45,44,13,60,103,88,9,43
Dp-8572,390,27,8,36,11,45,73,40,41,42,8,27,32,49,7,21
Dp-85723,243,0,71,0,1,0,0,1,4,5,0,0,0,3,30,0
Dp-8573,510,1,246,1,161,12,10,2,7,15,46,4,1,7,75,10
Dp-85784,663,432,259,258,440,354,295,664,671,539,177,212,242,545,127,308
Dp-8579,2136,663,51,380,133,374,432,672,740,881,106,415,474,609,182,367
Dp-85800,276,12,5,7,5,10,5,7,7,9,5,19,19,9,4,6
Dp-85825,540,15,75,11,76,3,7,11,6,7,154,5,8,14,34,6
Dp-85833,303,0,102,0,30,8,2,2,0,9,21,0,0,1,30,6
Dp-85836,267,2,1,6,4,3,3,6,12,7,5,1,3,20,0,1
Dp-85839,1323,10,4,21,8,24,21,40,44,47,19,32,36,57,4,11
Dp-85842,780,236,22,91,23,152,78,111,165,422,0,143,98,27,161,191
Dp-8586,456,19691,24382,39515,45274,40224,37374,31341,36266,44421,18234,31917,43329,96697,10624,27795
Dp-85866,426,67,5,32,17,46,25,177,220,137,2,8,0,25,7,10
Dp-8590,1380,134,28,122,69,209,252,208,298,226,60,181,219,300,40,81
Dp-8593,156,4,3,1,1,1,11,6,2,6,1,9,13,5,0,1
Dp-8598,1011,53,14,62,33,61,86,82,82,103,24,47,79,123,9,32
Dp-85985,648,107,11,72,41,68,66,129,182,182,26,72,110,102,27,62
Dp-8599,2382,57,22,152,90,126,168,220,331,248,87,134,166,327,27,81
Dp-8600,3669,137,17,291,63,300,347,267,474,397,61,244,270,438,29,120
Dp-86004,282,5,0,4,1,3,0,11,16,12,0,0,0,4,0,0
Dp-86007,753,19,3,19,8,35,11,104,152,62,2,8,0,16,2,5
Dp-8602,711,1,130,0,40,3,5,0,1,3,14,5,1,3,28,2
Dp-86026,882,138,60,90,117,96,139,154,55,46,47,95,126,101,46,60
Dp-86046,1161,91,13,88,31,130,28,396,681,267,5,14,2,58,10,6
Dp-86064,273,0,0,2,0,4,2,2,10,14,1,1,5,19,1,2
Dp-86159,270,140,213,151,220,195,220,98,100,252,60,151,236,382,73,144
Dp-86160,312,10,1,1,0,1,0,0,0,1,0,0,0,1,2,0
Dp-86165,654,0,1,14,7,13,39,12,32,20,7,8,11,37,1,5
Dp-8617,378,1112,861,760,991,943,813,1032,834,1426,427,825,1039,1689,721,1119
Dp-86171,225,1,2,1,2,0,2,0,0,2,0,4,4,2,1,0
Dp-86184,297,0,1,1,0,2,7,9,4,0,0,0,5,3,0,1
Dp-8619,813,19,4,21,7,31,7,99,102,65,1,5,0,8,5,1
Dp-8625,966,27,7,53,21,40,66,107,162,109,5,27,59,90,12,27
Dp-86251,948,17,45,28,24,28,30,30,24,26,32,10,19,30,28,18
Dp-86260,159,132,153,94,139,146,129,117,104,181,21,117,117,258,65,122
Dp-86299,891,529,157,341,227,468,440,455,589,549,129,435,587,683,115,314
Dp-8630,1692,72,28,46,27,37,70,177,107,353,98,456,426,306,42,97
Dp-86340,387,190,260,494,216,109,90,193,161,93,38,98,374,151,96,87
Dp-86344,444,32,171,13,180,20,13,31,23,35,133,10,13,50,43,26
Dp-86379,444,29,4,27,23,47,47,96,99,101,16,87,82,88,13,44
Dp-86385,375,79,21,60,51,75,100,121,121,110,14,69,96,122,15,72
Dp-8643,1788,120,69,142,86,151,202,151,190,179,30,156,195,275,38,123
Dp-86453,321,133,43,77,73,103,89,157,100,153,13,77,104,153,43,107
Dp-86476,1629,60,9,100,65,104,115,155,211,165,49,114,110,297,18,90
Dp-86537,645,42,4,21,15,21,11,113,150,79,1,3,0,21,0,2
Dp-86541,702,4,0,5,0,4,4,6,23,16,6,6,10,2,2,3
Dp-86546,507,16,5,8,4,8,13,29,29,25,4,27,15,21,2,12
Dp-8661,2790,66,8,145,39,121,184,146,170,159,311,293,323,406,16,63
Dp-86634,1536,19,29,28,41,26,38,21,73,40,3,46,63,77,10,21
Dp-86660,627,0,97,4,166,13,21,4,1,1,28,7,0,5,24,7
Dp-86672,234,369,296,678,496,448,914,687,762,792,254,687,702,1113,167,419
Dp-86677,1053,33,6,22,18,22,28,40,76,46,3,11,10,24,4,25
Dp-86698,486,5,2,7,11,5,8,52,73,38,2,2,0,4,2,2
Dp-86701,1944,234,90,156,150,195,202,284,467,293,52,168,192,332,42,127
Dp-86733,162,0,0,0,0,0,0,150,162,111,0,0,0,0,0,0
Dp-86745,342,19510,10710,9055,6317,9628,14802,9196,12146,17512,2149,9712,6138,11129,7788,17176
Dp-8675,501,0,360,0,0,0,0,0,0,0,0,0,0,0,163,0
Dp-86810,816,26,7,15,13,24,24,30,25,24,6,26,22,23,10,17
Dp-86816,789,274,53,219,113,238,308,337,389,249,36,144,189,266,66,274
Dp-8682,1596,384,169,314,387,549,471,561,821,543,152,464,469,1192,157,226
Dp-86846,381,442,331,443,520,509,553,360,468,381,113,282,427,1024,180,490
Dp-86852,192,0,92,2,32,8,0,0,2,2,45,0,0,2,21,9
Dp-86889,822,11,1,8,18,9,14,27,32,22,8,17,14,28,1,7
Dp-869,813,127,78,128,129,139,162,155,165,136,29,86,123,278,62,99
Dp-86913,255,4,2,3,5,1,3,0,0,2,0,1,11,4,1,5
Dp-86922,180,1412,618,2077,1288,2151,2366,1962,2813,2552,1254,1706,2715,4026,546,1239
Dp-86996,228,28,3,37,14,27,31,26,39,29,11,17,31,47,5,16
Dp-87014,1920,3145,2135,3077,2729,3322,4316,3962,5561,3109,648,1876,3418,6539,725,1819
Dp-87020,774,14,2,30,10,31,16,154,178,81,1,4,0,11,5,1
Dp-87028,423,0,196,1,66,10,8,1,2,14,42,0,0,7,65,8
Dp-87049,186,4,0,1,6,0,1,11,4,3,0,0,1,0,0,0
Dp-87079,648,153,25,42,29,73,70,77,97,108,22,49,48,101,58,51
Dp-87136,537,159,112,169,138,193,182,200,139,112,68,143,172,302,107,246
Dp-8714,1008,80,5,85,13,49,20,298,462,209,1,7,0,36,6,11
Dp-87141,390,9,1,9,9,6,7,24,40,16,2,0,0,4,1,1
Dp-87203,549,63,24,39,29,32,31,94,127,90,20,57,52,80,24,52
Dp-87212,906,25,1,12,5,21,28,25,28,21,6,19,33,18,6,4
Dp-8723,759,133,40,110,94,159,175,275,170,242,21,172,238,221,43,130
Dp-87235,267,4,1,7,2,3,0,33,37,12,2,0,0,0,0,1
Dp-8726,1680,50,15,85,62,138,77,138,157,163,134,186,156,170,27,52
Dp-87266,213,70,52,91,64,98,85,138,139,142,69,79,79,225,29,68
Dp-87273,1128,26,2,33,15,61,91,63,64,76,23,74,90,117,7,22
Dp-87305,366,0,102,0,8,0,2,0,0,3,26,0,0,3,41,5
Dp-8731,879,40,5,29,14,32,45,61,103,61,12,39,35,44,5,13
Dp-87312,1086,18,12,38,33,38,24,69,85,57,8,19,50,92,10,31
Dp-8733,6219,2066,344,2400,941,2223,3342,3001,3213,3545,1302,1847,2046,2799,447,1235
Dp-87334,918,20,4,15,13,15,21,16,29,15,7,9,18,48,3,5
Dp-8735,228,0,117,0,29,4,7,0,0,3,17,1,0,5,35,12
Dp-87358,276,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dp-87373,552,25,5,15,2,22,29,60,68,77,8,41,27,41,10,15
Dp-87404,2133,52,4,116,33,62,31,315,443,222,3,16,0,43,6,8
Dp-8741,1599,164,35,129,78,165,174,251,283,304,43,204,188,297,56,118
Dp-87414,1473,151,18,397,199,562,174,258,312,292,25,169,338,468,61,117
Dp-87423,852,49,3,12,5,19,29,33,72,42,0,17,14,30,14,12
Dp-8743,1359,596,529,530,537,728,574,647,755,596,161,497,784,1198,163,434
Dp-8744,1068,135,43,198,119,208,174,236,249,179,37,149,190,380,15,130
Dp-87447,684,54,401,71,172,99,98,84,105,139,133,63,64,221,136,76
Dp-87490,1152,210,50,160,121,179,186,208,244,311,5,174,226,345,51,141
Dp-87498,900,30631,49553,93074,73786,54456,59730,92775,93926,124223,56454,76856,113622,242492,29290,46690
Dp-875,888,60,15,220,58,159,341,177,274,137,66,79,156,401,12,46
Dp-8750,1518,450,99,452,235,667,602,541,699,656,51,179,465,797,131,265
Dp-87528,441,18,5,11,9,15,5,59,73,18,3,5,0,13,4,2
Dp-87540,561,10,1,13,1,2,2,32,35,26,0,0,0,2,0,9
Dp-87541,228,12,1,7,4,4,1,23,21,34,0,3,2,3,0,0
Dp-87555,213,18,4,10,8,14,5,12,14,8,4,17,18,18,7,3
Dp-87574,303,31,11,44,18,41,33,51,39,17,3,41,42,44,3,25
Dp-8758,1386,605,72,687,244,514,265,2274,4161,1633,21,96,14,298,52,43
Dp-87580,285,0,0,7,9,5,4,3,3,2,5,3,4,6,2,0
Dp-87604,585,11,2,67,4,34,88,41,37,44,12,38,32,92,7,27
Dp-87610,300,1,0,0,3,1,4,15,1,35,9,1,3,1,0,0
Dp-87622,297,0,1,0,21,4,3,0,0,0,0,2,0,0,0,0
Dp-87646,243,13,24,23,15,15,22,12,6,4,19,12,19,5,21,3
Dp-8766,1911,318,54,243,120,308,311,359,436,401,60,308,374,448,80,207
Dp-87663,765,4,0,12,5,16,25,2,19,10,25,5,27,32,1,0
Dp-8767,786,32,4,20,12,26,12,112,136,59,3,7,0,17,1,2
Dp-87680,621,22,23,13,27,50,19,85,94,108,1,22,45,44,5,10
Dp-87687,2160,180,37,111,65,105,138,240,301,236,18,137,139,182,59,114
Dp-87688,672,182,83,158,112,164,163,212,242,246,31,160,161,249,65,134
Dp-8769,384,1412,42,451,183,618,634,911,1531,1606,69,490,438,423,534,721
Dp-87694,780,2395,1633,1804,2403,2801,2835,2511,3176,2575,565,1468,2106,4660,534,1888
Dp-877,342,1,0,2,0,2,9,2,2,5,2,2,1,4,2,4
Dp-87705,855,16,9,16,20,21,27,30,26,28,8,21,18,39,7,3
Dp-8772,1806,478,90,623,240,679,652,910,1113,1321,267,779,821,1238,136,578
Dp-87731,450,352,459,271,352,337,293,335,256,377,108,314,327,659,171,319
Dp-87735,288,0,28,3,82,33,32,1,0,2,6,3,0,2,9,2
Dp-87741,939,331,123,336,307,382,371,494,474,452,113,340,413,613,100,235
Dp-87748,1881,41,9,40,17,41,84,93,77,60,77,263,115,79,7,53
Dp-87756,849,496,123,296,445,262,368,354,429,511,27,190,698,518,208,506
Dp-8777,1923,78,30,190,98,147,193,315,351,311,106,217,213,355,41,102
Dp-87802,1275,8,6,18,24,13,17,22,16,30,26,20,27,33,2,11
Dp-87819,777,97,7,66,29,102,33,394,426,280,4,9,0,27,19,16
Dp-8782,2538,564,502,945,810,975,1081,1094,1083,1805,688,1546,1826,2084,340,859
Dp-87826,1452,12,29,50,22,121,40,65,47,71,4,71,209,126,13,36
Dp-87833,189,1,1,6,2,4,13,9,9,11,6,4,11,19,3,5
Dp-87835,213,0,9,3,4,1,4,0,0,4,4,0,0,2,5,0
Dp-87836,750,19,6,17,15,18,14,30,24,22,9,14,12,17,6,5
Dp-87840,381,752,722,1122,1284,1362,1584,821,1024,1248,423,885,1147,2448,411,903
Dp-87848,879,68,10,25,15,45,20,165,259,138,2,5,1,8,2,5
Dp-87851,276,9,9,2,2,8,6,4,0,5,0,7,8,3,3,4
Dp-87867,474,9,0,13,3,11,1,44,64,33,1,1,1,4,0,0
Dp-8787,372,5496,5124,3028,5160,4783,5098,4348,4746,5340,1708,4006,5114,8404,1999,5062
Dp-87873,2244,11,3,16,9,27,38,30,59,52,77,75,44,62,5,10
Dp-87892,321,174,42,165,67,179,263,186,251,343,31,116,133,265,62,189
Dp-8791,3792,105,349,199,310,235,279,174,217,164,190,176,251,719,54,109
Dp-87949,966,88,5,27,9,46,26,81,60,52,10,18,48,30,21,44
Dp-87952,402,151,83,92,88,116,130,121,105,169,18,122,139,186,52,107
Dp-87954,981,7,3,10,3,24,20,11,21,17,14,15,5,14,2,8
Dp-87955,729,311,26,127,53,279,189,266,419,409,47,243,174,181,105,169
Dp-87957,1260,1874,1499,3545,1839,3046,3784,2586,3064,3195,1177,2365,3370,6886,827,3030
Dp-87969,1368,82,22,43,55,100,69,61,55,130,25,64,167,99,37,89
Dp-8801,939,53,3,82,9,65,98,58,113,129,25,46,51,138,12,63
Dp-88016,1887,42,8,81,38,72,162,82,156,133,32,78,104,191,6,48
Dp-8802,738,459,45,65,67,136,154,283,321,758,144,275,193,112,222,172
Dp-88031,405,2,1,2,2,4,2,1,3,2,0,1,7,2,0,0
Dp-88059,546,7,1,11,6,4,10,12,8,13,3,6,6,11,0,1
Dp-8806,825,13,3,24,5,20,38,19,23,28,8,17,30,50,4,20
Dp-88064,159,150,54,164,77,238,253,170,136,113,102,190,252,135,30,87
Dp-88067,996,212,26,560,171,533,557,541,661,723,1083,1003,905,952,60,323
Dp-88069,762,303,57,175,156,220,198,286,328,369,93,183,197,357,120,190
Dp-8807,1011,99,1,47,28,84,328,76,128,193,2,41,393,138,44,110
Dp-88077,648,116,26,116,77,181,85,159,130,128,125,343,97,87,65,34
Dp-88094,222,2,0,1,0,4,2,0,0,2,0,0,1,4,3,4
Dp-88097,1635,40,4,5,7,6,12,43,30,100,9,53,100,18,11,27
Dp-88123,984,34,17,43,41,52,80,70,57,64,59,52,36,91,15,39
Dp-88156,270,0,7,3,20,11,10,0,0,1,3,2,0,1,2,3
Dp-88169,357,6,4,6,13,8,9,3,6,3,0,1,2,13,1,4
Dp-8817,723,66,6,41,3,29,29,70,76,60,3,18,47,7,24,52
Dp-8821,1014,330,275,305,310,343,379,279,339,391,178,328,366,635,127,368
Dp-88289,768,1620,150,554,303,900,658,865,1200,1622,177,811,618,746,572,585
Dp-883,645,315,54,1469,287,1222,2117,921,1692,2147,611,1012,1405,3706,105,805
Dp-88300,273,153,173,136,116,173,152,187,146,189,16,119,153,351,62,131
Dp-88316,1755,13,5,17,9,20,35,85,59,48,191,81,46,78,11,17
Dp-88317,1527,105,4,24,36,109,73,45,66,94,49,59,50,26,43,98
Dp-8832,1368,124,9,113,57,116,48,497,698,325,10,12,0,56,12,9
Dp-88332,1353,21,1,45,13,30,57,43,35,35,15,18,49,48,4,22
Dp-88341,753,17,7,28,12,20,43,110,128,91,4,11,28,69,3,10
Dp-88355,390,862,406,1083,932,1406,1238,1121,946,968,261,873,1390,1939,317,920
Dp-88381,834,6,7,16,10,7,51,27,18,23,5,12,18,59,1,15
Dp-88384,1212,63,0,33,8,56,33,88,133,125,29,122,63,37,27,37
Dp-88420,162,7,24,12,3,1,7,258,1,1441,170,2252,1401,91,364,243
Dp-8843,453,1,4,4,2,0,0,93,1,79,1329,428,96,17,33,14
Dp-88432,495,242,79,140,185,204,162,213,235,224,54,163,228,329,76,150
Dp-88467,624,76,43,44,45,103,67,116,141,144,27,73,92,113,23,68
Dp-88469,1434,118,279,147,129,125,128,196,309,178,67,142,150,177,97,59
Dp-885,414,316,59,139,49,184,180,313,326,485,8,64,174,299,165,371
